Loan_ID,Gender,Married,Dependent_No,Education,Self_Employed,Applicant_Income,CoApplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status
23002,Male,1,3,Graduate,1,4315,19748,60000,300,1,1
23003,Female,1,3,Not Graduate,1,3331,29657,20000,60,0,1
23004,Male,1,3,Not Graduate,1,22494,29539,30000,240,1,1
23005,Male,1,2,Not Graduate,0,78117,12909,20000,60,0,1
23006,Male,0,2,Not Graduate,0,41976,45598,60000,300,1,1
23007,Male,0,1,Not Graduate,0,57923,5617,20000,180,1,1
23008,Male,1,0,Not Graduate,0,15339,48964,60000,120,1,1
23009,Male,0,3,Graduate,1,54602,14305,40000,60,1,1
23010,Female,1,3,Not Graduate,1,99815,40106,50000,360,1,1
23011,Female,1,3,Not Graduate,1,55741,5229,10000,60,1,1
23012,Male,1,1,Not Graduate,1,41186,,40000,180,1,0
23013,Male,0,4,Not Graduate,1,18515,16229,40000,360,1,1
23014,Male,0,1,Graduate,0,64098,7198,10000,360,1,1
23015,Male,0,1,Not Graduate,0,89261,9496,10000,120,1,1
23016,Male,0,3,Not Graduate,1,56685,41556,10000,180,1,0
23017,Male,0,4,Graduate,0,66807,32022,20000,120,1,1
23018,Male,1,0,Not Graduate,1,50160,9770,20000,300,1,1
23019,Female,1,2,Not Graduate,1,6235,3733,10000,300,0,1
23020,Male,1,0,Not Graduate,1,69619,29888,50000,240,1,0
23021,Male,1,4,Not Graduate,1,8844,28000,50000,120,1,1
23022,Female,0,4,Not Graduate,1,40910,24216,10000,360,1,1
23023,Female,0,1,Not Graduate,0,34152,25069,50000,360,0,0
23024,Male,1,1,Graduate,0,13570,34175,30000,360,1,0
23025,Male,1,3,Not Graduate,1,82286,38298,30000,360,1,1
23026,Male,0,3,Graduate,0,20931,20002,40000,120,1,1
23027,Male,0,4,Not Graduate,1,22845,,20000,180,0,1
23028,Male,1,3,Not Graduate,0,96956,36868,30000,180,1,1
23029,Male,1,1,Not Graduate,1,35223,9335,20000,360,0,1
23030,Female,0,4,Graduate,0,47249,22098,60000,120,0,1
23031,Male,0,1,Not Graduate,0,87260,12513,30000,300,0,1
23032,Male,0,2,Not Graduate,1,3965,30127,10000,240,1,1
