Loan_ID,Gender,Married,Dependent_No,Education,Self_Employed,Applicant_Income,CoApplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Status
23002,1,1,3,1,1,4315,19748,60000,300,1,1
23003,0,1,3,0,1,3331,29657,20000,60,0,1
23004,1,1,3,0,1,22494,29539,30000,240,1,1
23005,1,1,2,0,0,78117,12909,20000,60,0,1
23006,1,0,2,0,0,41976,45598,60000,300,1,1
23007,1,0,1,0,0,57923,5617,20000,180,1,1
23008,1,1,0,0,0,15339,48964,60000,120,1,1
23009,1,0,3,1,1,54602,14305,40000,60,1,1
23010,0,1,3,0,1,99815,40106,50000,360,1,1
23011,0,1,3,0,1,55741,5229,10000,60,1,1
23012,1,1,1,0,1,41186,,40000,180,1,0
23013,1,0,4,0,1,18515,16229,40000,360,1,1
23014,1,0,1,1,0,64098,7198,10000,360,1,1
23015,1,0,1,0,0,89261,9496,10000,120,1,1
23016,1,0,3,0,1,56685,41556,10000,180,1,0
23017,1,0,4,1,0,66807,32022,20000,120,1,1
23018,1,1,0,0,1,50160,9770,20000,300,1,1
23019,0,1,2,0,1,6235,3733,10000,300,0,1
23020,1,1,0,0,1,69619,29888,50000,240,1,0
23021,1,1,4,0,1,8844,28000,50000,120,1,1
23022,0,0,4,0,1,40910,24216,10000,360,1,1
23023,0,0,1,0,0,34152,25069,50000,360,0,0
23024,1,1,1,1,0,13570,34175,30000,360,1,0
23025,1,1,3,0,1,82286,38298,30000,360,1,1
23026,1,0,3,1,0,20931,20002,40000,120,1,1
23027,1,0,4,0,1,22845,,20000,180,0,1
23028,1,1,3,0,0,96956,36868,30000,180,1,1
23029,1,1,1,0,1,35223,9335,20000,360,0,1
23030,0,0,4,1,0,47249,22098,60000,120,0,1
23031,1,0,1,0,0,87260,12513,30000,300,0,1
23032,1,0,2,0,1,3965,30127,10000,240,1,1
23033,1,1,4,1,0,57925,33078,60000,180,1,0
23034,1,1,0,1,1,23790,39472,20000,120,1,0
23035,1,1,0,1,0,81011,38664,60000,60,0,1
23036,1,1,2,0,1,53331,49263,20000,240,0,1
23037,1,0,3,1,1,60771,44865,60000,360,0,1
23038,0,1,2,1,1,3733,15242,30000,300,1,1
23039,1,0,4,0,1,54472,7864,50000,120,1,1
23040,0,0,1,0,1,23065,44119,20000,360,1,1
23041,1,1,2,0,1,55661,48725,40000,300,1,1
23042,0,1,2,0,0,59343,20204,50000,240,1,0
23043,1,1,0,0,0,76034,15896,60000,120,1,1
23044,1,1,0,0,0,37750,41111,10000,360,1,1
23045,1,0,4,0,0,11316,32884,30000,60,0,1
23046,1,0,4,0,1,49415,,10000,120,0,1
23047,1,0,2,0,0,55253,43102,30000,240,1,1
23048,1,1,2,0,1,61832,1374,20000,240,0,1
23049,1,0,1,0,1,54421,26002,10000,60,1,0
23050,0,0,4,0,0,85594,37344,60000,180,1,0
23051,1,1,0,1,1,8875,29201,60000,60,0,0
23052,1,0,0,0,1,51308,9566,30000,180,0,0
23053,1,1,3,1,0,32557,33205,40000,240,1,0
23054,1,0,3,0,1,53132,32409,40000,300,1,1
23055,0,0,2,1,1,32431,45212,10000,300,1,1
23056,1,0,1,0,1,7576,36872,10000,300,1,1
23057,1,1,1,0,1,34061,43871,30000,360,1,0
23058,1,1,4,0,0,84303,46106,20000,240,1,1
23059,1,1,0,0,1,63665,,50000,60,1,0
23060,1,1,1,0,1,86021,45175,60000,120,0,0
23061,0,1,2,0,1,59725,41880,60000,360,0,1
23062,1,0,4,0,0,8741,43089,10000,300,1,0
23063,1,1,4,1,1,45629,44563,50000,120,1,1
23064,1,0,3,0,1,67596,40103,60000,180,0,1
23065,0,1,3,1,1,51152,,60000,180,1,1
23066,0,1,4,0,0,97539,45921,20000,60,0,0
23067,1,0,0,1,1,3750,47086,50000,60,1,1
23068,1,1,1,1,0,72359,17109,20000,240,0,0
23069,1,1,3,1,1,11400,33012,50000,360,0,0
23070,1,0,4,0,1,69371,15703,60000,60,1,1
23071,1,0,2,1,1,35475,7930,30000,240,1,1
23072,1,0,4,1,1,62107,39929,40000,60,1,1
23073,0,1,3,0,1,34344,10813,50000,60,1,0
23074,1,0,1,1,1,74916,22849,20000,360,1,0
23075,1,1,4,1,1,75510,24223,40000,120,0,1
23076,1,0,4,1,1,73830,9555,40000,360,1,0
23077,1,1,4,0,1,97761,1554,20000,120,0,0
23078,1,0,2,1,0,73939,39096,20000,60,1,1
23079,0,0,1,0,1,23849,21755,10000,300,0,0
23080,1,0,1,0,1,82547,,60000,180,1,1
23081,1,0,3,0,1,89870,30701,60000,180,0,0
23082,0,1,2,1,0,84853,28676,30000,300,1,1
23083,0,1,3,1,1,57373,18901,50000,300,1,0
23084,1,1,1,0,1,87904,26545,60000,300,1,1
23085,1,0,4,1,0,29047,23464,60000,120,0,1
23086,1,0,4,0,0,39977,25310,10000,360,0,1
23087,0,0,1,0,0,22083,11375,30000,360,0,0
23088,0,1,0,0,0,55981,41804,60000,60,0,1
23089,1,0,1,0,1,84115,32359,30000,120,1,1
23090,1,0,0,0,0,37590,41736,10000,120,1,1
23091,1,0,1,0,0,28893,,10000,120,1,1
23092,1,1,2,0,1,94400,,20000,60,1,0
23093,0,1,3,0,0,99334,25803,20000,180,1,1
23094,1,0,1,0,0,77965,38757,20000,180,1,0
23095,1,0,2,0,0,70544,13939,60000,240,1,1
23096,1,0,3,1,0,25919,2734,30000,60,1,0
23097,0,0,4,0,1,96009,21601,40000,60,0,1
23098,1,0,4,0,0,15666,5330,10000,360,1,1
23099,0,0,2,0,1,45045,24963,10000,60,1,0
23100,0,1,1,1,1,93468,,50000,60,1,0
23101,1,0,2,0,1,76109,,60000,180,1,0
23102,1,0,1,0,1,54702,33457,60000,300,1,1
23103,1,0,1,0,1,35145,42753,10000,360,1,0
23104,1,1,2,1,0,87518,34804,10000,120,0,1
23105,1,0,0,0,1,14723,6631,20000,300,0,0
23106,1,0,0,0,1,54806,23825,40000,300,0,1
23107,1,1,1,1,1,51300,2330,40000,180,1,1
23108,1,1,0,0,1,30318,6590,40000,120,0,0
23109,1,1,3,1,0,28512,7325,10000,60,0,0
23110,1,1,2,0,1,7672,30317,30000,120,0,0
23111,1,1,3,1,1,61941,25991,30000,360,0,1
23112,1,1,1,1,1,54085,15624,20000,60,1,0
23113,1,1,0,0,1,76472,12695,60000,180,1,0
23114,1,0,4,1,1,89338,16371,30000,360,1,1
23115,0,1,1,0,0,72920,4188,50000,360,1,1
23116,1,0,3,1,1,11670,29446,50000,360,1,0
23117,1,1,1,0,0,47686,18832,60000,180,1,0
23118,1,0,3,1,1,57011,38132,40000,60,0,0
23119,1,0,4,0,1,53735,4119,30000,60,0,1
23120,1,0,4,0,1,1415,,60000,180,1,1
23121,0,0,3,1,1,88076,38926,10000,240,0,0
23122,0,1,3,1,1,68940,23390,20000,120,1,0
23123,0,0,4,1,0,82340,6276,20000,300,1,1
23124,1,0,0,1,1,70107,37426,50000,240,1,1
23125,1,1,3,0,1,75330,19692,40000,240,1,1
23126,0,0,3,0,0,28317,17656,40000,360,0,1
23127,1,1,3,1,1,21874,30508,20000,300,0,0
23128,1,0,1,1,0,86903,13345,40000,120,1,1
23129,0,1,4,1,1,54564,34800,10000,360,1,0
23130,1,0,3,0,1,23691,7816,50000,60,1,0
23131,1,1,3,0,0,67778,12223,40000,360,1,1
23132,1,0,3,0,0,66577,15347,10000,180,1,0
23133,0,1,3,1,0,26347,22471,50000,120,1,0
23134,0,0,2,0,1,76584,18286,60000,240,1,1
23135,1,0,3,0,0,98004,,60000,360,1,0
23136,1,1,2,1,0,12988,37004,10000,180,1,0
23137,0,0,4,1,1,38433,15350,30000,240,1,1
23138,1,1,2,1,1,47812,15903,50000,60,1,1
23139,1,0,1,1,0,92329,13047,10000,240,0,1
23140,1,0,3,0,1,51606,30709,30000,360,0,0
23141,0,0,2,1,1,12059,48495,20000,240,1,1
23142,0,0,3,1,1,86921,9389,50000,300,1,1
23143,1,0,3,0,0,47197,14558,60000,360,0,1
23144,1,1,0,1,1,74440,4582,40000,180,1,1
23145,1,1,0,0,0,99586,37020,50000,60,1,0
23146,1,1,0,1,1,26668,,30000,180,0,0
23147,0,1,0,0,1,86508,,50000,120,0,1
23148,1,0,3,1,1,19928,47536,10000,300,1,0
23149,1,0,3,0,1,79059,47668,10000,180,1,1
23150,1,0,1,0,1,99851,23468,40000,180,0,1
23151,1,1,3,0,1,15856,,20000,240,1,1
23152,1,0,1,0,1,65945,10337,50000,60,1,1
23153,0,0,4,0,1,16168,38326,40000,300,0,1
23154,1,0,1,1,1,10191,42698,40000,300,0,1
23155,1,0,4,1,0,66826,21563,40000,120,0,1
23156,0,0,4,1,1,10429,,10000,180,1,1
23157,0,0,4,1,1,28226,26752,40000,360,1,1
23158,1,0,2,0,1,20171,30325,10000,180,1,1
23159,1,1,3,0,1,21307,,60000,300,0,1
23160,0,1,0,1,0,57289,23208,20000,240,1,1
23161,0,0,2,1,1,66828,46477,30000,120,1,1
23162,1,1,1,1,1,38896,18174,50000,240,1,0
23163,0,1,4,1,1,58694,44947,50000,240,1,0
23164,1,0,4,0,1,89011,39331,30000,300,1,1
23165,0,0,0,0,0,20083,23465,60000,60,1,1
23166,0,0,3,0,0,67962,37717,30000,180,1,0
23167,0,0,4,0,1,20001,47754,40000,120,1,1
23168,0,0,4,0,1,2792,,60000,240,0,1
23169,1,1,2,0,0,39407,,30000,60,0,1
23170,0,0,0,1,0,13804,,40000,300,1,0
23171,1,0,3,0,1,65936,44730,10000,180,0,0
23172,0,0,1,0,1,6602,3046,30000,120,1,1
23173,1,1,1,1,0,98889,2169,20000,60,1,1
23174,0,0,4,0,1,57575,26944,60000,60,1,0
